Name,NA,EU,JP,Other
Sébastien Loeb Rally Evo,0,0.04,0,0.01
Growlanser,0,0,0.04,0
Trollz: Hair Affair!,0.03,0.01,0,0
Daito Giken Koushiki Pachi-Slot Simulator: Shake II,0,0,0.04,0
Grand Slam,0.02,0.02,0,0
Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,0,0,0.04,0
The King of Fighters 2000,0,0,0.04,0
Coraline,0.04,0,0,0
FIFA Street 2,0.04,0,0,0
M&M's Beach Party,0.04,0,0,0
Dead Head Fred,0.04,0,0,0
D.C.F.S.: Da Capo Four Seasons,0,0,0.04,0
Hyperdimension Neptunia mk2,0,0,0.04,0
Disney's Meet the Robinsons,0.03,0.01,0,0
Hanayori Danshi: Koi Seyo Onago,0,0,0.04,0
Minna ga Shuyaku no NHK Kouhaku Quiz Kassen,0,0,0.04,0
Puyo Puyo Tetris,0,0,0.04,0
Sonic the Hedgehog 2 (8-bit),0,0,0.04,0
FlatOut 2,0.03,0.01,0,0
Rogue Trooper,0.02,0.02,0,0.01
Spy Fiction,0.02,0.02,0,0.01
R.B.I. Baseball 2016,0.04,0,0,0
Justice League: Chronicles,0.03,0.01,0,0
Resident Evil Director's Cut,0,0,0.04,0
Doko Demo Issho: Let's Gakkou!,0,0,0.04,0
Monster Trux Arenas: Special Edition,0.04,0,0,0
Conflict: Desert Storm II - Back to Bagdhad,0.03,0.01,0,0
Top Gun,0.04,0,0,0
Gem Smashers,0.04,0,0,0
Split/Second,0,0.04,0,0.01
B's-LOG Party♪,0,0,0.04,0
King Arthur,0.03,0.01,0,0
Chicken Shoot,0.03,0.01,0,0
Dai Senryaku VII: Modern Military Tactics,0.03,0.01,0,0
Gormiti: The Lords of Nature!,0.04,0,0,0
White Album 2: Shiawase no Mukougawa,0,0,0.04,0
Painkiller: Hell & Damnation,0.02,0.02,0,0.01
Go Go Ackman 3,0,0,0.04,0
WSC Real 11: World Snooker Championship,0,0.04,0,0.01
Advance Guardian Heroes,0.03,0.01,0,0
Casual Mania!,0.04,0,0,0
Castle of Shikigami III,0.04,0,0,0
Star X,0.03,0.01,0,0
Jewel Quest 5: The Sleepless Star,0.01,0.02,0,0.01
Get Up and Dance,0.03,0.01,0,0
The King of Fighters Kyo,0,0,0.04,0
Yowamushi Pedal,0,0,0.04,0
WarTech: Senko no Ronde,0.04,0,0,0
Record of Agarest War: Marriage,0,0,0.04,0
San-X Land: Theme Park de Asobou!,0,0,0.04,0
Corpse Party: Book of Shadows,0,0,0.04,0
428: Fuusa Sareta Shibuya de,0,0,0.04,0
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,0,0,0.04,0
Starry ? Sky: After Spring,0,0,0.04,0
Life is Strange,0.01,0.03,0,0
Need for Speed: ProStreet,0,0.04,0,0.01
Naruto Shippuden: Dairansen! Kage Bunshin Emaki,0,0,0.04,0
Mechanic Escape,0,0,0.04,0
Pro Evolution Soccer 2016,0,0.04,0,0
Twilight Syndrome: Kinjiratera Toshi Densetsu,0,0,0.04,0
True Love Story 3,0,0,0.04,0
Little Battlers eXperience W,0,0,0.04,0
The Smurfs,0.02,0.02,0,0
Strike Force Bowling,0.03,0.01,0,0
Chessmaster,0.03,0.01,0,0
Blood Will Tell: Tezuka Osamu's Dororo,0.02,0.02,0,0.01
The Kore Gang,0.04,0,0,0
Red Ninja: End of Honor,0.02,0.02,0,0.01
Kanuchi: Shiroki Tsubasa no Shou,0,0,0.04,0
Summer Athletics 2009,0,0.04,0,0
SX Superstar,0.03,0.01,0,0
Katekyoo Hitman Reborn! Battle Arena,0,0,0.04,0
Saint Seiya: The Hades,0,0,0.04,0
Saki Portable,0,0,0.04,0
Riding Stables: The Whitakers present Milton and Friends,0,0.04,0,0
Naruto Shippuuden: Shinobi Retsuden III,0,0,0.04,0
Metal Gear Solid: Digital Graphic Novel,0.02,0,0.02,0
Max & the Magic Marker,0,0.04,0,0
Outlaw Tennis,0.03,0.01,0,0
Free Running,0.02,0.02,0,0
Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,0,0,0.04,0
Barnyard,0.04,0,0,0
SPRay,0.04,0,0,0
No Rules: Get Phat,0.03,0.01,0,0
Battle Rage,0.04,0,0,0
Zombi Daisuki,0,0,0.04,0
Igor: The Game,0.04,0,0,0
LEGO Indiana Jones: The Original Adventures,0.02,0.02,0,0.01
Card Fight!! Vanguard G: Stride to Victory!!,0,0,0.04,0
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",0,0,0.04,0
Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,0,0,0.04,0
Challenge Me: Maths Workout,0.04,0,0,0
The Invincible Iron Man,0.03,0.01,0,0
NASCAR 07,0.03,0.01,0,0
Refrain no Chika Meikyuu to Majo no Ryodan,0,0,0.04,0
Dance Dance Revolution Disney Mix,0.02,0.02,0,0
Maken Shao: Demon Sword,0,0,0.04,0
Playmobil Top Agents,0,0.04,0,0
The Monkey King: The Legend Begins,0.04,0,0,0
Super Robot Taisen OG Infinite Battle,0,0,0.04,0
Scaler,0.03,0.01,0,0
Attack of the Movies 3D,0.04,0,0,0
BeatMania IIDX 16: Empress + Premium Best,0,0,0.04,0
FIFA Soccer 2003 (weekly jp sales),0,0,0.04,0
Emergency Room: Real Life Rescues,0.04,0,0,0
High Heat Baseball 2002,0.02,0.02,0,0
Utawarerumono: Futari no Hakuoro,0,0,0.04,0
Puyo Pop Fever,0,0,0.04,0
The Sims 2: Pets,0.01,0.02,0,0.01
Hana to Ikimo no Rittai Zukan,0,0,0.04,0
Bloody Roar Extreme,0.03,0.01,0,0
Platinum Sudoku,0.03,0.01,0,0
Kamen Rider: Battride War Genesis,0,0,0.04,0
Tennis Masters Series 2003,0.03,0.01,0,0
The Sims Deluxe,0.01,0.02,0,0.01
Port Royale 2,0,0.03,0,0.01
Amagami,0,0,0.04,0
Duke Nukem Trilogy: Critical Mass,0.04,0,0,0
MLB SlugFest 20-04,0.03,0.01,0,0
Pocket Pool,0.04,0,0,0
Jissen Pachislot Hisshouhou! Hokuto no Ken DS,0,0,0.04,0
Lise no Atelier: Ordre no Renkinjutsushi,0,0,0.04,0
Black & White,0,0.04,0,0.01
NCIS,0.01,0.02,0,0.01
The Cube,0,0.04,0,0
Company of Heroes: Tales of Valor,0,0.03,0,0.01
Myth Makers: Trixie in Toyland,0.04,0,0,0
NatGeo Challenge! Wild Life,0.04,0,0,0
Breath of Fire III,0,0.03,0,0.01
Torino 2006,0.03,0.01,0,0
Devil May Cry 4,0.01,0.02,0,0.01
Amnesia,0,0,0.04,0
Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch,0,0,0.04,0
Fashion Week Jr. Designer,0.04,0,0,0
Jewel Quest Mysteries 2: Trail of the Midnight Heart,0,0.04,0,0.01
Sherlock Holmes: Secret of The Silver Earring,0,0.04,0,0.01
Metal Slug 4 & 5,0.03,0.01,0,0
Great Battle Full Blast,0,0,0.04,0
Guilty Gear XX Accent Core,0.03,0,0,0
Hitman (2016),0,0.04,0,0.01
World Poker Tour,0.04,0,0,0
Saint Seiya: Soldiers' Soul,0,0,0.04,0
7 Days to Die,0.02,0.02,0,0
Digimon Rumble Arena 2,0.03,0.01,0,0
Doki Doki! PreCure Narikiri Life!,0,0,0.04,0
Gravity Falls: Legend of the Gnome Gemulets,0.03,0,0,0
Watashi no Relaxuma,0,0,0.04,0
Phantom Kingdom Portable,0,0,0.04,0
Pac-Man World Rally,0.04,0,0,0
Way of the Samurai 2 Portable,0,0,0.04,0
Heroes of Might and Magic V,0,0.03,0,0.01
Mazes of Fate DS,0.04,0,0,0
Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou,0,0,0.04,0
Hellboy: The Science of Evil,0.04,0,0,0
Virtua Tennis 4,0,0.03,0,0.01
Mortimer Beckett and the Secrets of Spooky Manor,0.04,0,0,0
Farm Frenzy 3,0,0.03,0,0.01
GRID,0,0.03,0,0.01
Little Busters! Converted Edition,0,0,0.04,0
Unison: Rebels of Rhythm & Dance,0.02,0.02,0,0.01
Ferrari Challenge Trofeo Pirelli,0,0.03,0,0.01
WTF: Work Time Fun,0.04,0,0,0
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,0,0,0.04,0
Major League Baseball 2K12,0.04,0,0,0
B.L.U.E.: Legend of Water,0,0,0.04,0
Dark Half,0,0,0.04,0
System 3 presents Ferrari Challenge Trofeo Pirelli,0.03,0.01,0,0
Luxor: Pharaoh's Challenge,0.01,0.03,0,0
Nitroplus Blasterz: Heroines Infinite Duel,0.01,0,0.02,0
Imperial Glory,0,0.04,0,0
Lionel Trains: On Track,0.04,0,0,0
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,0,0,0.04,0
Shukufuku no Campanella Portable,0,0,0.04,0
The Wolf Among Us,0.01,0.03,0,0
Sonic PC Collection,0,0.04,0,0.01
Horses 3D,0.04,0,0,0
Yourself Fitness,0.02,0.02,0,0.01
Chaos;Head - Love Chu*Chu!,0,0,0.04,0
Lost Planet 3,0,0.03,0,0.01
Paws & Claws: Regal Resort,0.04,0,0,0
Hannspree Ten Kate Honda: SBK Superbike World Championship,0.03,0,0,0
Star Trek: Shattered Universe,0.03,0.01,0,0
12Riven: The Psi-Climinal of Integral,0,0,0.04,0
Battle Spirits: Digital Starter,0,0,0.04,0
Rise of Nations,0.01,0.02,0,0.01
Deadliest Warrior: Ancient Combat,0.04,0,0,0
WarJetz,0.02,0.02,0,0.01
Breeding Stud 2,0,0,0.04,0
Banushi Life Game: Winner's Circle,0,0,0.04,0
Catwoman,0.03,0.01,0,0
Gakuen Hetalia Portable,0,0,0.04,0
Gitaroo Man Lives!,0.03,0,0,0
Chibi Maruko-Chan DS: Maru-Chan no Machi,0,0,0.04,0
Capcom Fighting Evolution,0.03,0.01,0,0
XCOM 2,0.01,0.02,0,0.01
Company of Heroes: Opposing Fronts,0.01,0.03,0,0.01
Novastorm,0.02,0.02,0,0
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,0,0,0.04,0
PopCap Arcade Vol 1,0.04,0,0,0
Dead Ball Zone,0.02,0.02,0,0
NBA in the Zone 2000,0.04,0,0,0
Men of War: Vietnam,0,0.03,0,0.01
NBA In The Zone '99,0.04,0,0,0
Winning Post World 2010,0,0,0.04,0
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,0,0,0.04,0
SWAT: Target Liberty,0.03,0,0,0
OutRun 2006: Coast 2 Coast,0.03,0.01,0,0.01
Haunted Casino,0,0,0.04,0
World Series Baseball,0,0,0.04,0
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,0,0,0.04,0
Aeon Flux,0.02,0.02,0,0.01
Chicken Blaster,0.04,0,0,0
Summer Challenge: Athletics Tournament,0,0.03,0,0.01
S.Y.K Renshouden Portable,0,0,0.04,0
Metal Max Returns,0,0,0.04,0
Shattered Union,0.03,0.01,0,0
Off-Road Drive,0,0.03,0,0.01
Hanaoni: Yume no Tsudzuki,0,0,0.04,0
Mat Hoffman's Pro BMX 2,0.03,0.01,0,0
Unchained Blades,0,0,0.04,0
Harley-Davidson: Road Trip,0.04,0,0,0
Gal*Gun,0,0,0.04,0
GoGo's Crazy Bones,0,0.04,0,0
MLB 2K12 / NBA 2K12 Combo Pack,0.04,0,0,0
Grand Theft Auto: Vice City,0,0.03,0,0.01
NHL Hitz Pro,0.03,0.01,0,0
Ookami Kakushi,0,0,0.04,0
Zen-Nippon GT Senshuken,0,0,0.04,0
North American Hunting Extravaganza 2,0.03,0,0,0
City Builder,0.04,0,0,0
PD Ultraman Battle Collection 64,0,0,0.04,0
Monaco Grand Prix,0.03,0.01,0,0
Worms Armageddon,0.03,0.01,0,0
Rally Challenge 2000,0.03,0.01,0,0
Looney Tunes Duck Dodgers Starring: Daffy Duck,0.03,0.01,0,0
Superman: Countdown to Apokolips,0.03,0.01,0,0
Deadly Arts,0.03,0.01,0,0
Kikou Heidan J-Phoenix 2,0,0,0.04,0
Sengoku Musou 3 Z Special,0,0,0.04,0
Dragon's Lair 3D: Return to the Lair,0.03,0.01,0,0
Harukanaru Toki no Naka de 5,0,0,0.04,0
Meteos: Disney Magic,0.01,0.02,0,0
Worms 4: Mayhem,0.03,0.01,0,0
Resident Evil: Operation Raccoon City,0,0.03,0,0.01
Winning Post 7 2012,0,0,0.04,0
Samurai Warriors 2: Empires,0.03,0,0.01,0
Super Black Bass Fishing,0.04,0,0,0
Point Blank 2,0.02,0.02,0,0
Who Wants to Be a Millionaire: 3rd Edition,0.04,0,0,0
Test Drive: Ferrari Legends,0.04,0,0,0
Saru! Get You! Pipo Saru Senki,0,0,0.04,0
Infamous: First Light,0,0.03,0,0.01
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,0,0,0.04,0
Imabikisou,0,0,0.04,0
Logic Machines,0.04,0,0,0
One Piece: Burning Blood,0.03,0.01,0,0
Hakuouki: Reimeiroku Portable,0,0,0.04,0
Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,0,0,0.04,0
Antz Extreme Racing,0.02,0.02,0,0.01
Motto TOEIC Test DS Training,0,0,0.04,0
Super Robot Gakuen,0,0,0.04,0
Atelier Iris 3: Grand Phantasm (JP Sales),0,0,0.04,0
Terraria,0,0.04,0,0
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,0,0,0.04,0
Empire Earth III,0,0.03,0,0.01
Mike Tyson Boxing,0.03,0.01,0,0
Jojo's Fashion Show: Design in a Dash!,0.04,0,0,0
The Legend of Heroes: Trails in the Sky First Chapter,0,0,0.04,0
Go Diego Go!: Safari Rescue,0.02,0.02,0,0.01
Deal or No Deal: Special Edition,0.04,0,0,0
Clannad,0,0,0.04,0
Nobunaga's Ambition: Sphere of Influence,0.03,0,0,0.01
Fisherman's Challenge,0.02,0.02,0,0.01
Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,0,0,0.04,0
Akko ni Omakase! Brain Shock,0,0,0.04,0
Mission: Impossible - Operation Surma,0.03,0.01,0,0
Guild Wars Trilogy,0,0.03,0,0.01
Patrician IV,0.03,0,0,0
Deadliest Warrior: Ancient Combat,0.04,0,0,0
King of Fighters: Maximum Impact Regulation A,0,0,0.04,0
Who Wants to be a Millionaire: 1st Edition,0,0.04,0,0
Star Ocean 5: Integrity and Faithlessness,0,0,0.04,0
Date A Live: Rine Utopia,0,0,0.04,0
CSI: Fatal Conspiracy,0,0.03,0,0.01
Durarara!! 3way Standoff: Alley,0,0,0.04,0
Surf's Up,0.03,0,0,0
Fritz Chess,0,0.03,0,0.01
The Da Vinci Code,0.03,0.01,0,0
Famicom Mini: Clu Clu Land,0,0,0.04,0
Astro Boy: The Video Game,0.04,0,0,0
Metal Slug XX,0.03,0,0,0
Sacred Blaze,0,0,0.04,0
Rollin' Rascals,0.04,0,0,0
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,0,0,0.04,0
Thoroughbred Breeder II Plus,0,0,0.04,0
Pure Pinball,0.03,0.01,0,0
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,0,0,0.04,0
Zac to Ombra: Maboroshi no Yuuenchi,0,0,0.04,0
Resident Evil: Revelations,0,0.03,0,0.01
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu,0,0,0.04,0
Shadow of the Colossus,0,0,0.04,0
Phantom Breaker,0.02,0,0.02,0
Gummy Bears Mini Golf,0.04,0,0,0
Brothers In Arms DS,0.03,0,0,0
Valhalla Knights 2: Battle Stance,0,0,0.04,0
99 no Namida,0,0,0.04,0
Clannad,0,0,0.04,0
Cyber Troopers Virtual-On Marz,0.02,0.01,0,0
Headhunter: Redemption,0.02,0.01,0,0
Ookami to Koushinryou: Boku to Horo no Ichinen,0,0,0.04,0
Bomberman: Act Zero,0.04,0,0,0
Stuntman,0.03,0.01,0,0
Time Travelers,0,0,0.04,0
Burnout Paradise: The Ultimate Box,0,0.03,0,0
The Chase: Felix Meets Felicity,0.04,0,0,0
Stoked: Big Air Edition,0.02,0.02,0,0
Syndicate Wars,0.02,0.01,0,0
Castlevania: Lords of Shadow 2,0.01,0.03,0,0
Draglade (JP sales),0,0,0.04,0
Herc's Adventures,0.02,0.01,0,0
Tiger Woods PGA Tour Golf,0.03,0.01,0,0
Twin Strike: Operation Thunder,0.04,0,0,0
BlazBlue: Chrono Phantasma Extend,0,0,0.04,0
All Points Bulletin,0,0.03,0,0.01
Romance of the Three Kingdoms 13,0,0,0.04,0
The Movies,0.01,0.03,0,0.01
SuperCar Challenge,0,0.03,0,0.01
Dreamfall: The Longest Journey,0.03,0.01,0,0
The Sims 4: Spa Day,0,0.04,0,0
Tokimeki Mahjong Paradise: Koi no Tenpai Beat,0,0,0.04,0
Yuki Yuna is a Hero: Memory of the Forest,0,0,0.04,0
JASF: Jane's Advanced Strike Fighters,0.02,0.01,0,0
Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,0,0,0.04,0
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,0,0,0.04,0
Zatch Bell! Mamodo Fury,0.03,0.01,0,0
Dora's Big Birthday Adventure,0.02,0.01,0,0
PopStar Guitar,0.02,0.01,0,0
Haikyu!! Cross Team Match!,0,0,0.04,0
NHL Blades of Steel 2000,0.02,0.01,0,0
Outlaw Volleyball Remixed,0.02,0.01,0,0
The Adventures of Darwin,0.01,0,0.03,0
Scarface: The World is Yours,0.01,0.02,0,0.01
Blood Bowl,0.01,0.02,0,0.01
FIFA World Cup Germany 2006,0.03,0,0,0
Supreme Commander: Forged Alliance,0.01,0.02,0,0.01
Klonoa Heroes: Densetsu no Star Medal,0,0,0.04,0
Hyperdimension Neptunia Victory II,0,0,0.04,0
Pajama Sam: You are What You Eat From Your Head to Your Feet,0.02,0.01,0,0
Sid Meier's Railroads!,0.01,0.03,0,0.01
Jig-A-Pix: Pets,0.03,0,0,0
Brothers: A Tale of Two Sons,0.03,0.01,0,0
Warhammer: Dark Omen,0.02,0.01,0,0
Mobile Suit Gundam: Mokuba no Kiseki,0,0,0.04,0
Denki Blocks!,0.03,0.01,0,0
A Ressha de Ikou DS,0,0,0.04,0
Harukanaru Toki no Naka de 4: Aizouban,0,0,0.04,0
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,0,0,0.04,0
Colin McRae Rally 3,0.03,0.01,0,0
Ballistic,0.02,0.01,0,0
Paddington: Adventures in London,0,0.04,0,0
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,0,0,0.04,0
Caesar IV,0,0.03,0,0.01
Sega Rally 2006,0,0,0.04,0
Song of the Deep,0.03,0,0,0
I'm A Celebrity: Get Me Out of Here!,0,0.04,0,0
Gundam Battle Online,0,0,0.04,0
Harry Potter and the Order of the Phoenix,0,0.03,0,0.01
Shonen Jump's One Piece: Grand Adventure,0.03,0.01,0,0
Holly Hobbie & Friends,0.04,0,0,0
Kevin Van Dam: Big Bass Challenge,0.04,0,0,0
Stolen,0.02,0.01,0,0
Monster High: New Ghoul in School,0,0.04,0,0
Glacier2,0.04,0,0,0
Rugby Challenge 3,0,0.03,0,0.01
Memories Off 6: T-Wave,0,0,0.04,0
Superstars V8 Racing,0,0.02,0,0.01
Halo: Combat Evolved,0.01,0.02,0,0.01
Hatsune Miku: Project Diva X,0.01,0,0.02,0
Bullet Girls 2,0,0,0.04,0
Famicom Remix Best Choice,0,0,0.04,0
Pro Race Driver,0.03,0.01,0,0
Sleepover Party,0.03,0,0,0
100 Classic Games,0,0.03,0,0
Ide Yosuke no Mahjong Kazoku,0,0,0.04,0
Richard Burns Rally,0,0.03,0,0.01
WRC: FIA World Rally Championship,0.02,0.01,0,0.01
Quiz Mobile Gundam: Toi Senshi DX,0,0,0.04,0
R-Type Command (correct US sales),0.04,0,0,0
E.T. The Extra-Terrestrial: Interplanetary Mission,0.02,0.01,0,0
Story Hour: Fairy Tales,0.04,0,0,0
Dynasty Warriors Vol. 2 (JP sales),0,0,0.04,0
Countdown Vampires,0.02,0.01,0,0
Crypt Killer,0.02,0.01,0,0
Tokumei Sentai Go-Busters,0,0,0.04,0
Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!,0,0,0.04,0
The Treasures of Montezuma,0.02,0.02,0,0
Saints Row 2,0,0.03,0,0.01
Harry Potter and the Prisoner of Azkaban,0,0.03,0,0.01
Battle Hunter,0.02,0.01,0,0
PO'ed,0.02,0.01,0,0
Heathcliff! Frantic Foto,0.04,0,0,0
Adidas Power Soccer,0.02,0.01,0,0
LEGO Jurassic World,0,0.04,0,0
Secret Files 2: Puritas Cordis,0,0.03,0,0.01
Darklight Conflict,0.02,0.01,0,0
Dragon Ball: Advanced Adventure,0.03,0.01,0,0
Art of Fighting 3: The Path of the Warrior,0,0,0.04,0
Rabbids Land,0.02,0.01,0,0
Civilization Beyond Earth: Rising Tide,0,0.04,0,0
The Ripping Friends,0.03,0.01,0,0
Rodea the Sky Soldier,0.03,0,0,0
Konami Arcade Classics,0.02,0.01,0,0
Hunter x Hunter: Wonder Adventure,0,0,0.04,0
Super Army War,0.03,0.01,0,0
Ao no Exorcist: Genkoku no Labyrinth,0,0,0.04,0
Don Bradman Cricket 14,0,0.04,0,0
Echo Night Beyond,0.02,0.01,0,0
Minna no Chizu,0,0,0.04,0
Doom II: Hell on Earth,0.03,0.01,0,0
Taikou Risshiden V,0,0,0.04,0
Shin Hayarigami,0,0,0.04,0
Jikkyou Powerful Major League,0,0,0.04,0
Train Simulator 2016,0,0.04,0,0
Corpse Party: Blood Covered - Repeated Fear,0,0,0.04,0
Suzumiya Haruhi no Tsuisou,0,0,0.04,0
Zoo Hospital,0.03,0,0,0
Evolution Skateboarding,0.03,0.01,0,0
Greg Hastings' Tournament Paintball Max'd,0.03,0,0,0
The Idolm@ster: Must Songs - Red Board / Blue Board,0,0,0.04,0
Jikkyou World Soccer 2002,0,0,0.04,0
Tenshou Gakuen Gekkouroku,0,0,0.04,0
Ski-Doo Snowmobile Challenge,0.03,0,0,0
Aquanaut's Holiday: Kakusareta Kiroku,0,0,0.04,0
Real Soccer 2008,0.03,0,0,0
Little Red Riding Hood's Zombie BBQ,0.03,0,0,0
Texas Hold 'Em Poker DS,0.03,0,0,0
DuckTales: Remastered,0.03,0,0,0
APB Reloaded,0.02,0.01,0,0
Railroad Tycoon 3,0,0.03,0,0.01
Magical Starsign (JP sales),0,0,0.04,0
Big Mutha Truckers,0.03,0.01,0,0
DT Carnage,0.03,0,0,0
Resident Evil 6,0.03,0,0,0
Teenage Zombies: Invasion of the Alien Brain Thingys,0.03,0,0,0
Ar Nosurge: Ode to an Unborn Star,0,0,0.04,0
Warriors Orochi 3,0.01,0.03,0,0
Monster High: New Ghoul in School,0,0.03,0,0
Ragnarok Odyssey,0.03,0.01,0,0.01
Rugby 08,0.02,0.01,0,0
GoPets: Vacation Island,0.03,0,0,0
Pia Carrot e Youkoso!! 2.5,0,0,0.04,0
Cy Girls,0.02,0.01,0,0
The Sum of All Fears,0.03,0.01,0,0
Da Capo I & II Plus Situation Portable,0,0,0.04,0
World of Tanks,0,0.03,0,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,0,0,0.04,0
Bubble Bobble Double Shot,0.03,0,0,0
Minority Report: Everybody Runs,0.03,0.01,0,0
Monster Hunter Frontier Online: Season 9.0,0,0,0.04,0
Winning Post 8,0,0,0.04,0
C.O.R.E.,0.03,0,0,0
Garfield: The Search for Pooky,0.03,0.01,0,0
Rugby World Cup 2015,0,0.03,0,0.01
Galaxy Fight,0,0,0.04,0
Chaos Wars,0,0,0.04,0
Steambot Chronicles,0.02,0.01,0,0
Toki no Kizuna: Sekigahara Kitan,0,0,0.04,0
Mr. Driller,0.02,0.01,0,0
Norn9: Norn + Nonette,0,0,0.04,0
Super Hero Generation,0,0,0.04,0
Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,0,0,0.04,0
Gumby vs. the Astrobots,0.03,0.01,0,0
Trine 2,0,0.03,0,0.01
Doraemon: Shin Nobita no Nihon Tanjou,0,0,0.04,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,0,0,0.04,0
Worms: Ultimate Mayhem,0,0.03,0,0
Scaler,0.03,0.01,0,0
NHL Legacy,0.03,0,0,0.01
Chaos;Head Noah,0,0,0.04,0
Tears to Tiara Anecdotes: The Secret of Avalon,0,0,0.04,0
Legasista,0,0,0.04,0
Fatal Fury: Battle Archives Volume 1,0.02,0.01,0,0
The Night of the Rabbit,0,0.03,0,0
Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,0,0,0.04,0
Rhapsody: A Musical Adventure,0.02,0.01,0,0
NHL 16,0,0.03,0,0.01
Destiny: The Collection,0.01,0.02,0,0
Music Maker: Rockstar,0.02,0.01,0,0
Fading Shadows,0.03,0,0,0
Formula 1 06,0,0,0.04,0
Without Warning,0.02,0.01,0,0
"Minna de Jibun no Setsumeisho: B-Kata, A-Kata, AB-Kata, O-Kata",0,0,0.04,0
Smashing Drive,0.03,0.01,0,0
Age of Mythology: The Titans,0.01,0.02,0,0
Fighting Vipers 2,0,0,0.04,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.03,0.01,0,0
Sudoku Ball Detective,0.02,0.01,0,0
12-Sai. Koisuru Diary,0,0,0.04,0
Castlevania: Lords of Shadow - Reverie,0.02,0.01,0,0.01
Napoleon Dynamite: The Game,0.03,0,0,0
Beatdown: Fists of Vengeance,0.03,0.01,0,0
Enchanted Arms (JP sales),0,0,0.04,0
Monster Force,0.03,0.01,0,0
World of Goo,0,0.03,0,0.01
Onsei Kanjou Sokuteiki: Kokoro Scan,0,0,0.04,0
Clock Zero: Shuuen no Ichibyou Portable,0,0,0.04,0
San Goku Shi DS 3,0,0,0.04,0
Trick x Logic: Season 2,0,0,0.04,0
Challenge Me: Word Puzzles,0.03,0,0,0
Hakuouki: Zuisouroku,0,0,0.04,0
World in Conflict,0,0.03,0,0.01
World Championship Pool 2004,0.03,0.01,0,0
Derby Tsuku 5: Derby Uma o Tsukurou!,0,0,0.04,0
S.T.A.L.K.E.R.: Clear Sky,0,0.03,0,0.01
Jikkyou Powerful Major League 2009,0,0,0.04,0
SD Gundam Force: Showdown!,0.02,0.01,0,0
Ray Gigant,0,0,0.04,0
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,0,0,0.04,0
Flow: Urban Dance Uprising,0.02,0.01,0,0
Ailu de Puzzle,0,0,0.04,0
World in Conflict: Complete Edition,0,0.03,0,0.01
True Pinball,0.02,0.01,0,0
Jane's Hotel,0.03,0,0,0
Stadium Games,0.03,0.01,0,0
RLH: Run Like Hell,0.03,0.01,0,0
Power Play Pool,0.03,0,0,0
J-League Pro Striker 2,0,0,0.04,0
Obscure,0.03,0.01,0,0
Caesar III,0,0.03,0,0.01
Super Robot Taisen: Scramble Commander the 2nd,0,0,0.04,0
Mahjong Taikai,0,0,0.04,0
Tomb Raider: Anniversary,0,0.03,0,0.01
Espgaluda II Black Label,0,0,0.04,0
The Croods: Prehistoric Party!,0.01,0.02,0,0
Bratz Kidz,0.03,0,0,0
Hot Potato!,0.03,0.01,0,0
Barbie and Her Sisters Puppy Rescue,0,0.03,0,0
Kiniro no Corda 2 f,0,0,0.04,0
Swords,0.03,0,0,0
Winter Sports 3: The Great Tournament,0,0.03,0,0.01
Deception III: Dark Delusion,0.02,0.01,0,0
Gothic Universe,0,0.03,0,0.01
